t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
237,24.0,69.0,23.0,31.0,87.0,72.0,26.0,54.0,61.0,0.0,55.0,44.0,2.0
238,10.0,67.0,30.0,51.0,65.0,72.0,42.0,83.0,95.0,47.0,86.0,39.0,0.0
239,5.0,45.0,24.0,51.0,1.0,107.0,39.0,67.0,116.0,30.0,26.0,38.0,11.0
240,45.0,40.0,27.0,59.0,16.0,45.0,29.0,77.0,73.0,37.0,45.0,30.0,0.0
241,59.0,38.0,28.0,22.0,72.0,40.0,25.0,77.0,62.0,12.0,73.0,0.0,0.0
242,58.0,99.0,7.0,11.0,44.0,75.0,65.0,79.0,76.0,56.0,19.0,7.0,0.0
243,45.0,89.0,11.0,18.0,69.0,61.0,41.0,45.0,98.0,82.0,0.0,28.0,0.0
244,22.0,74.0,0.0,36.0,87.0,8.0,38.0,63.0,14.0,51.0,0.0,26.0,0.0
245,4.0,79.0,17.0,50.0,59.0,66.0,50.0,62.0,55.0,19.0,0.0,0.0,0.0
246,18.0,49.0,10.0,40.0,51.0,72.0,13.0,65.0,83.0,55.0,0.0,0.0,5.0
247,45.0,0.0,4.0,28.0,64.0,62.0,20.0,95.0,88.0,33.0,2.0,0.0,12.0
248,23.0,39.0,34.0,4.0,77.0,104.0,46.0,58.0,95.0,18.0,31.0,0.0,6.0
249,16.0,61.0,16.0,0.0,60.0,39.0,41.0,78.0,53.0,73.0,79.0,0.0,14.0
250,9.0,74.0,28.0,23.0,99.0,27.0,58.0,64.0,101.0,75.0,94.0,1.0,4.0
251,17.0,73.0,2.0,45.0,34.0,16.0,44.0,61.0,82.0,59.0,67.0,0.0,0.0
252,46.0,63.0,42.0,55.0,67.0,30.0,62.0,52.0,11.0,55.0,40.0,10.0,5.0
253,3.0,63.0,45.0,56.0,71.0,20.0,28.0,75.0,78.0,2.0,6.0,21.0,10.0
